name,networth,education
Jihad Azour,,Sciences Po
Jihad Dib,,University of Wollongong
Jihadi John,,British undergraduate degree classification
Jil Tracy,,Southern Illinois University School of Law
Jila Baniyaghoob,,Allameh Tabataba'i University
Jilani Chowdhury,,London Metropolitan University
Jill A. Pryor,,Yale Law School
Jill Alper,,Boston College
Jill Belland,,Media studies
Jill Biden,,West Chester University
Jill Billings,,Augsburg College
Jill Briscoe,,Homerton College Cambridge
Jill Carroll,,Bachelor of Arts
Jill Cohenour,,University of Montana
Jill Culton,,California Institute of the Arts
Jill Dando,,Worle Community School
Jill Dando,,Cardiff Metropolitan University
Jill Davis,,Endicott College
Jill E. Sommers,,University of Kansas
Jill Evans,,University of Glamorgan
Jill Hennessy ,,University of Melbourne
Jill Holtzman Vogel,,DePaul University
Jill James,,Mills College
Jill Ker Conway,,University of Sydney
Jill Konrath,,University of Minnesota
Jill Lepore,,Tufts University
Jill Long Thompson,,Valparaiso University
Jill Martin,,University of Michigan
Jill N. Tokuda,,George Washington University
Jill Parrish,,Weber State University
Jill Pike,,Loyola Marymount University
Jill Pipher,,University of California Los Angeles
Jill Schupp,,University of Missouri
Jill Seaman,,University of Washington School of Medicine
Jill Shaw Ruddock,,Northwestern High School (Baltimore Maryland)
Jill Shaw Ruddock,,Bowdoin College
Jill Soloway,,University of Wisconsin–Madison
Jill Stein,,Harvard University
Jill Stevens  Jill Stevens  1,,Southern Utah University
Jill Tabart,,University of Melbourne
Jill Tarter,,Cornell University
Jill Techel,,University of North Dakota
Jill York,,Transylvania University
Jillian Balow,,Campbell County High School (Wyoming)
Jillian Becker,,University of the Witwatersrand
Jillian Michaels,,California State University Northridge
Jillian Parry Fry,,Pennsylvania State University
Jillian Schlesinger,,Brown University
Jim %22Razor%22 Sharp,,Kermit High School
Jim %22Razor%22 Sharp,,Odessa College
Jim A. Kuypers,,Louisiana State University
Jim Abeler,,Northwestern Health Sciences University
Jim Al-Khalili,,University of Surrey
Jim Allister,,Queen's University Belfast
Jim Ananich,,University of Michigan–Flint
Jim Ardis,,Illinois State University
Jim Argue,,Hendrix College
Jim Arnold ,,Indiana University
Jim Atchison,,University of South Florida
Jim Axelrod,,Bachelor of Arts
Jim Bacchus,,Vanderbilt University
Jim Baggott,,University of Oxford
Jim Balsillie,8.0E8,Harvard Business School
Jim Bankoff,,Wharton School of the University of Pennsylvania
Jim Banks,,Grace College & Seminary
Jim Barker ,,Northeastern State University
Jim Barnett ,,University of Mississippi Medical Center
Jim Barone,,Pittsburg State University
Jim Barrett ,,Bachelor of Arts
Jim Barrett ,,Loyola Law School
Jim Bartels,,Punahou School
Jim Beall ,,San Jose State University
Jim Belushi,,Southern Illinois University Carbondale
Jim Benton,,Western Michigan University
Jim Berger ,,Cornell University
Jim Blinn,,University of Utah
Jim Bohannon,,Missouri State University
Jim Bolin,,University of South Dakota
Jim Boyd ,,State College of Florida Manatee–Sarasota
Jim Brandstatter,,University of Michigan
Jim Braude,,New York University School of Law
Jim Breyer,2.0E9,Harvard University
Jim Bridenstine,,Samuel Curtis Johnson Graduate School of Management
Jim Broadbent,,London Academy of Music and Dramatic Art
Jim Buchy,,Wittenberg University
Jim Buckmaster,4.0E7,Virginia Tech
Jim Bunning,,Xavier University
Jim Burn,,Duquesne University
Jim Butler ,,University of Maryland College Park
Jim Cairns,,University of Melbourne
Jim Caldwell ,,Central High School (Tulsa Oklahoma)
Jim Cantalupo,,University of Illinois at Urbana–Champaign
Jim Cantore,,Lyndon State College
Jim Carlson ,,Dunwoody College of Technology
Jim Carlton,,University of Sydney
Jim Carr,,McGill University
Jim Case,,University of Denver
Jim Cawley,,Temple University
Jim Chalmers ,,Griffith University
Jim Christensen,,University of Queensland
Jim Christiana,,Washington & Jefferson College
Jim Chu,,University of British Columbia
Jim Chu ,,Stanford University
Jim Clyburn,,South Carolina State University
Jim Colver,,University of Alaska Anchorage
Jim Conroy,,State University of New York
Jim Cook Jr.,,Bachelor of Arts
Jim Cook Jr.,,Rowan University
Jim Cooper,,Harvard Law School
Jim Costa,,California State University Fresno
Jim Coughlan,,Providence College
Jim Courter,,Duke University School of Law
Jim Cousins,,New College Oxford
Jim Coutts,,Harvard Business School
Jim Cowan,,London School of Economics
Jim Cox ,,Pensacola Christian College
Jim Cramer,,Harvard Law School
Jim Cymbala,,Naval Academy
Jim D'Arcy,,St Patrick's College Dublin
Jim D. Hansen,,University of Idaho College of Law
Jim Daly ,,Mary Immaculate College
Jim Davies ,,Georgia Institute of Technology
Jim Davis ,,Washington and Lee University
Jim Davis ,,Loma Linda University
Jim Davis ,5.2E9,Middlebury College
Jim Davnie,,University of Minnesota
Jim DeMint,,University of Tennessee
Jim DeRogatis,,New York University
Jim Denning,,Fort Hays State University
Jim Dillard,,College of William & Mary
Jim Dobbin,,Edinburgh Napier University
Jim Donelon,,Loyola University New Orleans College of Law
Jim Douglas,,Middlebury College
Jim Doyle,,Harvard Law School
Jim Dunn ,,Louisiana State University
Jim Dunnam,,Baylor University
Jim Durkin,,John Marshall Law School (Chicago)
Jim Dwyer ,,Columbia University
Jim Eadie ,,University of Strathclyde
Jim Eisenhower,,Antioch School of Law
Jim Elliot,,Benson Polytechnic High School
Jim Elliott,,San Francisco State University
Jim Esch,,Creighton University School of Law
Jim Fahy,,Garbally College
Jim Fall,,New York University
Jim Ferguson ,,University of Sydney
Jim Ferraro,,University of Miami
Jim Ferrell,,Gonzaga University School of Law
Jim Field Smith,,Wellington College Berkshire
Jim Fitzgerald,,Baldwin Wallace University
Jim Fitzgerald,,University of Wisconsin–Whitewater
Jim Fixx,,Oberlin College
Jim Flaherty,,Osgoode Hall Law School
Jim Folsom,,Samford University
"Jim Folsom, Jr.",,Jacksonville State University
Jim Forbes ,,Royal Military College Duntroon
Jim Fouras,,University of Queensland
Jim Fowler,,Earlham College
Jim Francisco,,Wichita State University
Jim Fruchterman,,Master of Science
Jim Furner,,University of Melbourne
Jim Galton,,Antioch College
Jim Gardner ,,Columbia University
Jim Garrison,,Tulane University
Jim Garrison ,,University of Cambridge
Jim Geelen,,University of Waterloo
Jim George ,,Master of Theology
Jim George ,,Talbot School of Theology
Jim Gerlach,,Dickinson College
Jim Gianopulos,,Fordham University School of Law
Jim Gibbons ,,University College Dublin
Jim Gibbons ,,Air Command and Staff College
Jim Gilmore,,University of Virginia
Jim Glenn,,University of Wisconsin–Madison
Jim Goetz,,University of Cincinnati
Jim Gordon ,,Assumption University (Windsor Ontario)
Jim Grant ,,McGill University
Jim Graves,,Bachelor of Science
Jim Gray ,,Harvard University
Jim Gray ,,University of California Berkeley
Jim Green ,,Doctor of Philosophy
Jim Green ,,University of Wollongong
Jim Green ,,University of South Carolina
Jim Gregory ,,St. Michael's College School
Jim Guy Tucker,,Harvard University
Jim Hammond ,,Whitworth University
Jim Harris ,,Lakefield College School
Jim Haslam,,University of Tennessee
Jim Hendren,,University of Arkansas
Jim Hendry,,Spring Hill College
Jim Henson,,Northwestern High School (Hyattsville Maryland)
Jim Henson,,University of Maryland College Park
Jim Herring,,University of Mississippi School of Law
Jim Higgins ,,NUI Galway
Jim Hightower,,University of North Texas
Jim Himes,,Harvard University
Jim Hodges,,University of South Carolina
Jim Holder,,Oklahoma Panhandle State University
Jim Holperin,,University of Wisconsin–Whitewater
Jim Honeyford,,Central Washington University
Jim Hood,,University of Mississippi
Jim Horning,,Stanford University
Jim Howell ,,Western Michigan University Cooley Law School
Jim Huffman,,Montana State University
Jim Hughes ,,Capital University
Jim Hume,,University of Edinburgh
Jim Hundstad,,Northern State University
Jim Inhofe,,University of Tulsa
Jim Irsay,2.3E9,Southern Methodist University
Jim Jacks,,University of Bradford
Jim Jagielski,,Johns Hopkins University
Jim Jarmusch,,Columbia University
Jim Jeffords,,Harvard Law School
Jim Jinkins,,Lipscomb University
Jim Jones ,,Bachelor of Arts
Jim Jones ,,Ryerson University
Jim Jordan ,,University of Wisconsin–Madison
Jim Justice,1.69E9,Marshall University
Jim Kajiya,,University of Utah
Jim Keet,,Cox School of Business
Jim Keffer,,Texas Tech University
Jim Kelly ,,Bourbon County High School Paris Kentucky
Jim Kenney,,La Salle University
Jim Kent,,University of California Santa Cruz
Jim Kimsey,,St. John's College High School
Jim Knight,,Fitzwilliam College Cambridge
Jim Knoblach,,Harvard University
Jim Kolbe,,Northwestern University
Jim Kosek,,Pennsylvania State University
Jim Kyle,,Cecil C. Humphreys School of Law
Jim L. Smithson,,Marshall High School (Arkansas)
Jim Laidler,,University of Illinois at Chicago
Jim Landtroop,,Keller High School
Jim Lane ,,Saint Joseph's University
Jim Langfelder,,University of Illinois at Springfield
Jim Lanzone,,Emory University School of Law
Jim Lark,,Master of Science
Jim Lark,,Virginia Tech
Jim Leach,,London School of Economics
Jim Lees,,Hurlstone Agricultural High School
Jim Lehrer,,University of Missouri
Jim Letten,,Tulane University Law School
Jim Lewis ,,Bachelor of Science
Jim Lewis ,,Krannert School of Management
Jim Lykam,,Scott Community College
Jim Lynch ,,Youngstown State University
Jim Madaffer,,Grossmont College
Jim Madden,,University of Queensland
Jim Manzi ,,Wharton School of the University of Pennsylvania
Jim Margolis,,Oberlin College
Jim Marriott,,Utah State University
Jim Marshall ,,University of Leeds
Jim Marshall ,,Boston University
Jim Martin ,,University of Georgia School of Law
Jim Mather,,University of Glasgow
Jim Matheson,,UCLA Anderson School of Management
Jim Matthews ,,College of the Holy Cross
Jim Mattox,,Baylor University
Jim McCarthy ,,St Philip's School
Jim McClelland,,University of Melbourne
Jim McColl,1.0E9,Stonelaw High School
Jim McConn,,University of Notre Dame
Jim McCormick ,,University of California Irvine
Jim McCrery,,Louisiana State University
Jim McDaid,,NUI Galway
Jim McDermott,,University of Illinois at Chicago College of Medicine
Jim McGovern ,,American University
Jim McGregor,,University of Cincinnati
Jim McLay,,University of Auckland
Jim Mees,,Bachelor's degree
Jim Mees,,Carnegie Mellon University
Jim Meffert,,St. Olaf College
Jim Messina ,,University of Montana
Jim Metcalf,,University of North Texas
Jim Metzen,,University of Minnesota
Jim Miles ,,University of North Carolina School of Law
Jim Mitchell ,,Baker High School (Louisiana)
Jim Mitchell ,,Dublin Institute of Technology
Jim Mooney ,,East Tennessee State University
Jim Moore ,,Montana State University
Jim Moran,,Bachelor of Arts
Jim Moran ,,Loyola Academy
Jim Morgan ,,West Virginia University
Jim Morris ,,Smackover High School
Jim Muhwezi,,Police
Jim Murphy ,,Strake Jesuit College Preparatory
Jim Nabors,,University of Alabama
Jim Naismith,,University of Edinburgh
Jim Nash ,,University of Nebraska Omaha
Jim Naugle,,Florida Atlantic University
Jim Newberger,,St. Cloud State University
Jim Newberry,,University of Kentucky College of Law
Jim Nicholson ,,United States Military Academy
Jim Nickels,,University of Arkansas School of Law
Jim Nielsen,,California State University Fresno
Jim Nussle,,Luther College (Iowa)
Jim O'Keeffe,,University College Dublin
"Jim O'Neill, Baron O'Neill of Gatley",,University of Sheffield
Jim Oberstar,,College of Europe
Jim Oberweis,,Booth School of Business
Jim Olin,,Cornell University
Jim Ott,,Marquette University Law School
Jim Paice,,Writtle College
Jim Paredes,,Ateneo de Manila University
Jim Parsons,,Klein Oak High School
Jim Pattison,6.6E9,University of British Columbia
Jim Paymar,,University of Minnesota
Jim Peebles,,University of Manitoba
Jim Perry ,,University of Pennsylvania
Jim Petro,,Case Western Reserve University School of Law
Jim Pitts,,Southern Methodist University
Jim Pomeroy ,,McCormick Theological Seminary
Jim Prentice,,Schulich School of Law
"Jim Prior, Baron Prior",,Pembroke College Cambridge
Jim Puplava,,Arizona State University
Jim Ramsay,,University of Melbourne
Jim Ramstad,,University of Minnesota
Jim Ranchino,,University of Wisconsin–Madison
Jim Ratcliffe,3.2E9,Beverley Grammar School
Jim Ratcliffe,3.2E9,London Business School
Jim Rayburn,,Kansas State University
Jim Reese,,Northern Oklahoma College
Jim Reese ,,Howard Payne University
Jim Reid-Anderson,,Salesian College Battersea
Jim Renacci,,Indiana University of Pennsylvania
Jim Rex,,Master of Education
Jim Rhodes,,Ohio State University
Jim Rice ,,William Howard Taft University
Jim Risch,,Juris Doctor
Jim Roddey,,Texas Christian University
Jim Rogers,,Balliol College Oxford
Jim Rogers ,,Oklahoma Baptist University
Jim Rose ,,Rhode Island College
Jim Rubens,,Dartmouth College
Jim Ryan ,,Chicago-Kent College of Law
Jim Ryun,,University of Kansas
Jim Sacia,,University of Wisconsin–River Falls
Jim Saxton,,East Stroudsburg University of Pennsylvania
Jim Scheer,,University of Nebraska–Lincoln
Jim Schmitt,,St. Norbert College
Jim Scott ,,University of North Carolina at Chapel Hill
Jim Sensenbrenner,,University of Wisconsin–Madison
Jim Service,,Newington College
Jim Sharp ,,South Texas College of Law
Jim Shea ,,University of Montana
Jim Sheets,,Enid High School
Jim Short ,,University of Melbourne
Jim Shuler,,University of Georgia
Jim Silva,,Chapman University
Jim Slattery,,Washburn University
Jim Slezak,,Yale University
Jim Smith ,,University of Louisville
Jim Snyder ,,Edward R. Murrow College of Communication
Jim Soorley,,Loyola University Chicago
Jim Sorvillo,,St. Petersburg College
Jim Spainhower,,University of Missouri
Jim Speros,,Clemson University
Jim Stamas,,Delta College (Michigan)
Jim Starkey,,University of Wisconsin–Madison
Jim Steineke,,University of Wisconsin–Milwaukee
Jim Stengel,,Franklin & Marshall College
Jim Stovall,,Oral Roberts University
Jim Strickland ,,University of Memphis
Jim Sturgess,,University of Salford
Jim Suttle,,West Virginia University
Jim Talent,,University of Chicago Law School
Jim Taylor ,,Pomona College
Jim Taylor ,,New York University
Jim Tedisco,,Union College
Jim Testerman,,Millersville University of Pennsylvania
Jim Thompson ,,Western Oregon University
Jim Thompson ,,Emmanuel College Cambridge
Jim Thompson ,,University of Pennsylvania
Jim Thurman,,University of Michigan
Jim Tomes,,Ivy Tech Community College of Indiana
Jim Towey,,Bachelor of Science
Jim Towey,,Florida State University
Jim Townsend ,,University of North Carolina
Jim Toy,,University of Michigan
Jim Trakas,,Ohio State University
Jim Tressel,,Baldwin Wallace University
Jim Trujillo,,Santa Fe University of Art and Design
Jim Tucker ,,University of New Orleans
Jim Turley,,Master of Arts
Jim Vokal,,Creighton University
Jim Waldman,,Shepard Broad Law Center
"Jim Wallace, Baron Wallace of Tankerness",,University of Edinburgh
Jim Wallace ,,Harvard Business School
Jim Walton,3.38E10,University of Arkansas
Jim Ward ,,Washburn University School of Law
Jim Waring,,Northern Illinois University
Jim Wayne,,Smith_College_M.S.W.
Jim Wayne Miller,,Vanderbilt University
Jim Webb,,Georgetown University Law Center
Jim Wells ,,Queen's University Belfast
Jim Whelan,,Temple University
Jim Whittaker,,West Seattle High School
Jim Wickwire,,Gonzaga University School of Law
Jim Wilkes,,Stetson University College of Law
Jim Wilkinson ,,University of Texas at Arlington
Jim Wilson ,,Oklahoma State University–Stillwater
Jim Wright,,Weatherford College
Jim Yong Kim,,Harvard University
Jimi Agbaje,,St Gregory's College Lagos
Jimi Petulla,,Oil City Area School District
Jimly Asshiddiqie,,University of Indonesia
Jimmie Don Aycock,,Texas A&M University
Jimmie Hall ,,West Texas A&M University
Jimmie Lee Solomon,,Harvard Law School
Jimmie Lou Fisher,,Arkansas State University
Jimmie Massie,,University of Virginia
Jimmie V. Reyna,,University of New Mexico School of Law
Jimmie Walker,,Theodore Roosevelt High School (New York City)
Jimmie Åkesson,,Lund University
Jimmy Adegoke,,Ahmadu Bello University
Jimmy Bharucha,,Colombo
Jimmy Childress,,Ruston High School
Jimmy Devins,,Trinity College Dublin
Jimmy Dimos,,Neville High School
Jimmy Dixon ,,Wake Forest University
Jimmy Duncan ,,University of Tennessee
Jimmy Eldridge,,Lambuth University
Jimmy Faircloth,,Georgia State University College of Law
Jimmy Field,,Louisiana State University Laboratory School
Jimmy G. Shoalmire,,Mississippi State University
Jimmy Halliday,,University of Glasgow
Jimmy Harte,,University College Dublin
Jimmy Haslam,3.0E9,University of Tennessee
Jimmy Hibbert,,Leighton Park School
Jimmy Hibbert,,University of Manchester
"Jimmy Hickey, Jr.",,Texas A&M University–Commerce
Jimmy Higdon,,Morehead State University
Jimmy Hood,,University of Nottingham
Jimmy J. Kolker,,Harvard University
Jimmy Jack McBee Roberts,,Abilene Christian University
Jimmy Kuhn,,Loyola Law School
Jimmy L. Morales,,Juris Doctor
Jimmy LaSalvia,,Black Hills State University
Jimmy Lemi Milla,,Makerere University
Jimmy Lord,,John A. Gupton College
Jimmy Maymann,,London Business School
Jimmy Moore ,,Trinity College Dublin
Jimmy Morales,,Universidad de San Carlos de Guatemala
Jimmy Naifeh,,University of Tennessee
Jimmy Patronis,,Gulf Coast State College
Jimmy Smits,,Thomas Jefferson High School (Brooklyn)
Jimmy Smits,,Cornell University
Jimmy Soni,,Duke University
Jimmy Stewart ,,Marshall University
Jimmy Tatro,,University of Arizona
Jimmy Van Bramer,,St. John's University (New York City)
Jimmy Wales,,Auburn University
Jimmy Wilson,,Louisiana Tech University
Jimmy Wong,,Middlebury College
Jimoh Ibrahim,,Master of Laws
Jin Daoming,,Central Party School of the Communist Party of China
Jin Dinghan,,Peking University
Jin Goo,,Sahmyook University
Jin Hee-kyung,,Kunsan National University
Jin Hyuk,,Yonsei University
Jin Ji-hee,,Chung-Ang University
Jin Kyung,,Korea National University of Arts
Jin Li,,University of Texas Health Science Center at Houston
Jin Liqun,,Beijing Foreign Studies University
